,author,num_pages_grp,count
646,Amy Krouse Rosenthal,250-499,1
647,Amy Krouse Rosenthal,500-749,0
648,Amy Krouse Rosenthal,750-999,0
649,Amy Krouse Rosenthal,>=1000,0
650,Amy L. Marsland,<250,1
651,Amy L. Marsland,250-499,0
652,Amy L. Marsland,500-749,0
653,Amy L. Marsland,750-999,0
654,Amy L. Marsland,>=1000,0
655,Amy Sedaris,<250,1
656,Amy Sedaris,250-499,0
657,Amy Sedaris,500-749,0
658,Amy Sedaris,750-999,0
659,Amy Sedaris,>=1000,0
660,Amy Sohn,<250,0
661,Amy Sohn,250-499,1
662,Amy Sohn,500-749,0
663,Amy Sohn,750-999,0
664,Amy Sohn,>=1000,0
665,Amy Tan,<250,0
666,Amy Tan,250-499,1
667,Amy Tan,500-749,0
668,Amy Tan,750-999,0
669,Amy Tan,>=1000,0
670,Amy Taubin,<250,1
671,Amy Taubin,250-499,0
672,Amy Taubin,500-749,0
673,Amy Taubin,750-999,0
674,Amy Taubin,>=1000,0
675,Anaïs Nin,<250,1
676,Anaïs Nin,250-499,0
677,Anaïs Nin,500-749,0
678,Anaïs Nin,750-999,0
679,Anaïs Nin,>=1000,0
680,Anderson Cooper,<250,0
681,Anderson Cooper,250-499,1
682,Anderson Cooper,500-749,0
683,Anderson Cooper,750-999,0
684,Anderson Cooper,>=1000,0
685,Andre Dubus,<250,1
686,Andre Dubus,250-499,0
687,Andre Dubus,500-749,0
688,Andre Dubus,750-999,0
689,Andre Dubus,>=1000,0
690,Andre Dubus III,<250,0
691,Andre Dubus III,250-499,1
692,Andre Dubus III,500-749,0
693,Andre Dubus III,750-999,0
694,Andre Dubus III,>=1000,0
695,Andre Duza,<250,0
696,Andre Duza,250-499,0
697,Andre Duza,500-749,0
698,Andre Duza,750-999,0
699,Andre Duza,>=1000,1
700,Andrea Camilleri,<250,1
701,Andrea Camilleri,250-499,0
702,Andrea Camilleri,500-749,0
703,Andrea Camilleri,750-999,0
704,Andrea Camilleri,>=1000,0
705,Andrea Levy,<250,1
706,Andrea Levy,250-499,0
707,Andrea Levy,500-749,0
708,Andrea Levy,750-999,0
709,Andrea Levy,>=1000,0
710,Andrea Wilson Nightingale,<250,1
711,Andrea Wilson Nightingale,250-499,0
712,Andrea Wilson Nightingale,500-749,0
713,Andrea Wilson Nightingale,750-999,0
714,Andrea Wilson Nightingale,>=1000,0
715,Andreas Gursky,<250,1
716,Andreas Gursky,250-499,0
717,Andreas Gursky,500-749,0
718,Andreas Gursky,750-999,0
719,Andreas Gursky,>=1000,0
720,Andreas J. Köstenberger,<250,0
721,Andreas J. Köstenberger,250-499,1
722,Andreas J. Köstenberger,500-749,0
723,Andreas J. Köstenberger,750-999,0
724,Andreas J. Köstenberger,>=1000,0
725,Andrei Codrescu,<250,0
726,Andrei Codrescu,250-499,1
727,Andrei Codrescu,500-749,0
728,Andrei Codrescu,750-999,0
729,Andrei Codrescu,>=1000,0
730,Andrew      Hunt,<250,0
731,Andrew      Hunt,250-499,1
732,Andrew      Hunt,500-749,0
733,Andrew      Hunt,750-999,0
734,Andrew      Hunt,>=1000,0
735,Andrew    Hunt,<250,0
736,Andrew    Hunt,250-499,0
737,Andrew    Hunt,500-749,1
738,Andrew    Hunt,750-999,0
739,Andrew    Hunt,>=1000,0
740,Andrew Carnegie,<250,1
741,Andrew Carnegie,250-499,0
742,Andrew Carnegie,500-749,0
743,Andrew Carnegie,750-999,0
744,Andrew Carnegie,>=1000,0
745,Andrew Cartmel,<250,0
746,Andrew Cartmel,250-499,0
747,Andrew Cartmel,500-749,1
748,Andrew Cartmel,750-999,0
749,Andrew Cartmel,>=1000,0
750,Andrew Delbanco,<250,1
751,Andrew Delbanco,250-499,0
752,Andrew Delbanco,500-749,0
753,Andrew Delbanco,750-999,0
754,Andrew Delbanco,>=1000,0
755,Andrew Heintzman,<250,0
756,Andrew Heintzman,250-499,1
757,Andrew Heintzman,500-749,0
758,Andrew Heintzman,750-999,0
759,Andrew Heintzman,>=1000,0
760,Andrew Helfer,<250,1
761,Andrew Helfer,250-499,0
762,Andrew Helfer,500-749,0
763,Andrew Helfer,750-999,0
764,Andrew Helfer,>=1000,0
765,Andrew Hussey,<250,0
766,Andrew Hussey,250-499,1
767,Andrew Hussey,500-749,0
768,Andrew Hussey,750-999,0
769,Andrew Hussey,>=1000,0
770,Andrew J. Offutt,<250,0
771,Andrew J. Offutt,250-499,0
772,Andrew J. Offutt,500-749,1
773,Andrew J. Offutt,750-999,0
774,Andrew J. Offutt,>=1000,0
775,Andrew James McLean,<250,0
776,Andrew James McLean,250-499,1
777,Andrew James McLean,500-749,0
778,Andrew James McLean,750-999,0
779,Andrew James McLean,>=1000,0
780,Andrew M. Greeley,<250,0
781,Andrew M. Greeley,250-499,1
782,Andrew M. Greeley,500-749,0
783,Andrew M. Greeley,750-999,0
784,Andrew M. Greeley,>=1000,0
785,Andrew P. Trout,<250,0
786,Andrew P. Trout,250-499,0
787,Andrew P. Trout,500-749,1
788,Andrew P. Trout,750-999,0
789,Andrew P. Trout,>=1000,0
790,Andrew Solomon,<250,0
791,Andrew Solomon,250-499,0
792,Andrew Solomon,500-749,1
793,Andrew Solomon,750-999,0
794,Andrew Solomon,>=1000,0
795,Andrew Weil,<250,0
796,Andrew Weil,250-499,1
797,Andrew Weil,500-749,0
798,Andrew Weil,750-999,0
799,Andrew Weil,>=1000,0
800,Andrew X. Pham,<250,1
801,Andrew X. Pham,250-499,0
802,Andrew X. Pham,500-749,0
803,Andrew X. Pham,750-999,0
804,Andrew X. Pham,>=1000,0
805,Andrés Duany,<250,1
806,Andrés Duany,250-499,0
807,Andrés Duany,500-749,0
808,Andrés Duany,750-999,0
809,Andrés Duany,>=1000,0
810,Andy Griffiths,<250,1
811,Andy Griffiths,250-499,0
812,Andy Griffiths,500-749,0
